,room_type,accommodates,bedrooms,beds,host_response_rate,latitude,longitude,number_of_reviews,review_scores_rating,bath_size,bath_type,price_log
1604,Entire home/apt,3,1.0,1.0,100,13.74631,100.54964,257,4.8,1.0,bath,7.313220387090301
1605,Entire home/apt,4,2.0,2.0,0,13.8785,100.59507,0,0.0,2.0,bath,6.802394763324311
1606,Entire home/apt,2,1.0,1.0,100,13.82297,100.58377,10,4.11,1.0,bath,6.522092798170152
1607,Entire home/apt,2,1.0,1.0,100,13.82338,100.58482,1,5.0,1.0,bath,6.522092798170152
1608,Entire home/apt,8,3.0,4.0,0,13.71178,100.46312,7,4.57,2.5,bath,7.737616282857904
1609,Private room,2,1.0,1.0,100,13.69991,100.59435,11,4.9,1.0,bath,6.862757913051401
1610,Entire home/apt,4,2.0,2.0,100,13.80504,100.52387,7,4.67,2.0,bath,7.170119543449628
1611,Entire home/apt,1,1.0,1.0,0,13.75737,100.50058,0,0.0,1.0,bath,7.090076835776092
1612,Entire home/apt,4,1.0,1.0,0,13.78942,100.57301,0,0.0,1.0,bath,7.313220387090301
1613,Entire home/apt,3,1.0,1.0,100,13.73133,100.69904,38,4.56,1.0,bath,6.19644412779452
1614,Private room,3,1.0,1.0,0,13.69571,100.60594,0,0.0,1.0,bath,6.897704943128636
1615,Entire home/apt,2,1.0,1.0,100,13.7061,100.53639,72,4.86,1.0,bath,7.718685495198466
1616,Private room,4,1.0,2.0,0,13.70566,100.59812,0,0.0,1.0,private bath,8.006367567650246
1617,Entire home/apt,2,1.0,1.0,100,13.71883,100.53148,35,4.91,1.0,bath,7.600902459542082
1618,Entire home/apt,5,2.0,3.0,100,13.78327,100.67007,165,4.71,2.0,bath,6.610696044717759
1619,Private room,2,1.0,1.0,100,13.72461,100.53366,0,0.0,1.0,bath,8.006367567650246
1620,Private room,2,1.0,1.0,0,13.72279,100.45093,2,3.0,1.0,private bath,6.476972362889683
1621,Private room,2,1.0,1.0,0,13.72264,100.45082,30,4.2,1.0,private bath,6.476972362889683
1622,Private room,4,1.0,2.0,100,13.7236,100.52516,2,4.5,2.0,bath,7.2078598714324755
1623,Hotel room,2,1.0,1.0,58,13.75811,100.54363,199,4.45,1.0,shared bath,7.311218384419629
1624,Private room,2,1.0,1.0,0,13.70653,100.59784,0,0.0,1.0,private bath,6.745236349484363
1625,Entire home/apt,2,1.0,1.0,100,13.71327,100.60187,2,4.0,1.0,bath,6.907755278982137
1626,Entire home/apt,2,1.0,1.0,100,13.7449,100.58784,0,0.0,1.0,bath,7.003065458786462
1627,Entire home/apt,4,2.0,1.0,50,13.74319,100.55458,7,5.0,2.0,bath,7.155396301896734
1628,Entire home/apt,2,1.0,1.0,100,13.71945,100.53109,87,4.72,1.0,bath,7.4673710669175595
1629,Entire home/apt,2,1.0,1.0,67,13.71657,100.53146,22,4.73,1.0,bath,7.639161171659173
1630,Entire home/apt,2,1.0,1.0,0,13.75275,100.70146,0,0.0,1.0,bath,6.906754778648554
1631,Private room,2,1.0,1.0,0,13.7057,100.59831,1,5.0,1.0,private bath,7.673223121121708
1632,Entire home/apt,2,1.0,1.0,90,13.75626,100.56208,5,5.0,1.0,bath,6.951772164398911
1633,Entire home/apt,3,1.0,1.0,0,13.73605,100.58459,0,0.0,1.0,bath,7.003065458786462
1634,Entire home/apt,2,1.0,1.0,0,13.74928,100.6066,27,4.72,1.0,bath,6.756932389247553
1635,Shared room,1,1.0,1.0,0,13.72275,100.76368,3,4.0,3.0,shared bath,5.966146739123692
1636,Shared room,1,1.0,1.0,0,13.72278,100.76429,19,4.61,3.0,shared bath,5.966146739123692
1637,Shared room,1,1.0,1.0,0,13.72293,100.76385,1,5.0,3.0,shared bath,5.966146739123692
1638,Shared room,1,1.0,1.0,0,13.72301,100.76446,0,0.0,3.0,shared bath,5.966146739123692
1639,Shared room,1,1.0,1.0,0,13.72301,100.76451,0,0.0,3.0,shared bath,5.966146739123692
1640,Entire home/apt,10,3.0,3.0,100,13.71872,100.50847,65,4.75,2.0,bath,9.072686206677387
1641,Entire home/apt,4,2.0,1.0,0,13.75614,100.53313,0,0.0,1.0,bath,8.160518247477505
1642,Shared room,1,1.0,1.0,0,13.72286,100.76387,0,0.0,3.0,shared bath,5.966146739123692
1643,Shared room,1,1.0,1.0,0,13.72093,100.76454,0,0.0,3.0,shared bath,5.966146739123692
1644,Shared room,1,1.0,1.0,0,13.72295,100.76525,9,4.22,3.0,shared bath,5.966146739123692
