,room_type,accommodates,bedrooms,beds,host_response_rate,latitude,longitude,number_of_reviews,review_scores_rating,bath_size,bath_type,price_log
0,Entire home/apt,3,1.0,1.0,100,13.75983,100.54134,65,4.85,1.5,bath,7.552237287560802
1,Private room,2,1.0,1.0,100,13.76872,100.63338,0,0.0,1.0,bath,7.552237287560802
2,Private room,2,1.0,2.0,0,13.66818,100.61674,0,0.0,1.0,bath,7.182352111885263
3,Private room,2,1.0,1.0,0,13.75232,100.62402,0,0.0,1.0,bath,6.684611727667927
4,Private room,2,1.0,1.0,100,13.78823,100.57256,2,4.5,1.0,private bath,7.1592919047975645
5,Private room,2,1.0,2.0,78,13.7204,100.50757,4,2.5,1.0,private bath,6.551080335043404
6,Private room,2,1.0,1.0,0,13.68556,100.49535,1,5.0,1.0,bath,7.351158226430694
7,Entire home/apt,2,1.0,1.0,0,13.71516,100.56806,0,0.0,1.0,bath,7.24422751560335
8,Private room,2,1.0,1.0,100,13.71934,100.5176,27,4.77,1.0,private bath,7.047517221357296
9,Private room,3,1.0,1.0,0,13.9077,100.64473,0,0.0,1.0,bath,7.313220387090301
10,Private room,2,1.0,1.0,100,13.74444,100.57003,3,3.5,1.0,bath,8.236155661683124
11,Hotel room,2,1.0,1.0,100,13.71802,100.51539,208,4.79,1.0,private bath,7.529406457837013
12,Entire home/apt,3,1.0,2.0,0,13.7547,100.53268,0,0.0,2.0,bath,8.033334015880062
13,Private room,4,1.0,1.0,100,13.73292,100.46413,76,4.77,1.5,bath,7.639161171659173
14,Entire home/apt,2,1.0,1.0,0,13.77941,100.57383,3,2.5,1.0,bath,6.813444599510896
15,Entire home/apt,2,1.0,1.0,58,13.77931,100.54262,90,4.7,1.0,bath,7.24422751560335
16,Entire home/apt,3,1.0,1.0,100,13.69757,100.5288,19,4.76,1.0,bath,6.907755278982137
17,Entire home/apt,2,1.0,1.0,0,13.82925,100.56737,0,0.0,1.0,bath,7.2868764117507
18,Entire home/apt,3,1.0,1.0,0,13.81693,100.56433,10,4.5,1.0,bath,7.351158226430694
19,Entire home/apt,4,2.0,2.0,67,13.77486,100.54272,129,4.76,2.0,bath,7.545918151209323
20,Private room,2,1.0,1.0,0,13.79152,100.53982,0,0.0,1.0,bath,8.332308352219117
22,Entire home/apt,5,3.0,3.0,0,13.73378,100.56303,148,4.77,3.5,bath,8.644706511715198
23,Entire home/apt,3,1.0,1.0,0,13.70719,100.59936,78,4.84,1.0,bath,7.3632795869630385
24,Entire home/apt,5,2.0,4.0,100,13.74668,100.56137,287,4.85,2.0,bath,8.523970175695261
25,Entire home/apt,3,2.0,2.0,100,13.72291,100.53759,3,3.0,2.0,bath,8.599510233905452
26,Entire home/apt,1,1.0,1.0,100,13.73224,100.57803,5,5.0,1.0,bath,7.533693709848633
27,Private room,1,1.0,1.0,0,13.68568,100.49231,0,0.0,1.0,bath,7.233455418621439
28,Private room,2,1.0,1.0,100,13.71803,100.54654,0,0.0,1.0,private bath,8.160518247477505
29,Private room,16,1.0,2.0,100,13.76747,100.63287,0,0.0,1.0,bath,7.081708586105575
30,Private room,2,1.0,1.0,100,13.721868,100.771713,28,4.64,1.5,bath,7.192182058713246
31,Entire home/apt,4,1.0,1.0,100,13.73122,100.46228,95,4.86,1.0,bath,7.492760300922379
32,Private room,2,1.0,4.0,0,13.82148,100.58326,0,0.0,4.0,bath,5.857933154483459
33,Entire home/apt,2,1.0,1.0,100,13.7285,100.52313,63,4.14,1.0,bath,7.069874128458572
34,Entire home/apt,4,2.0,2.0,50,13.72687,100.52725,104,4.7,1.0,bath,7.901377353792616
35,Entire home/apt,2,1.0,1.0,100,13.72097,100.57823,83,4.99,1.0,bath,7.639161171659173
36,Entire home/apt,2,1.0,1.0,100,13.74293,100.55603,212,4.69,1.0,bath,7.413970290190444
37,Entire home/apt,3,1.0,1.0,0,13.75351,100.53308,76,4.72,1.0,bath,7.600902459542082
38,Entire home/apt,4,1.0,1.0,100,13.72733,100.52555,71,4.45,1.0,bath,7.519149957669823
39,Private room,2,1.0,1.0,0,13.78938,100.6134,0,0.0,1.0,bath,6.396929655216146
40,Private room,2,1.0,1.0,100,13.72287,100.51678,15,4.57,1.0,bath,7.824046010856292
41,Entire home/apt,2,1.0,2.0,0,13.7137,100.59637,7,4.33,1.0,bath,7.170119543449628
42,Entire home/apt,2,1.0,2.0,100,13.71192,100.51535,472,4.81,1.0,bath,6.763884908562435
43,Private room,2,1.0,1.0,0,13.71602,100.52663,0,0.0,1.0,bath,7.899524472032198
44,Private room,3,1.0,1.0,0,13.78118,100.58349,0,0.0,1.0,bath,7.182352111885263
45,Entire home/apt,2,2.0,1.0,0,13.74464,100.55784,0,0.0,2.0,bath,7.4570320891223805
46,Private room,2,1.0,1.0,0,13.71798,100.52841,4,4.75,1.0,shared bath,7.459338895220296
47,Private room,2,1.0,1.0,70,13.79274,100.33377,1,5.0,1.0,private bath,7.495541943884256
48,Private room,2,1.0,1.0,70,13.79315,100.33356,0,0.0,1.0,private bath,7.495541943884256
49,Entire home/apt,2,1.0,1.0,100,13.72062,100.54707,419,4.58,1.0,bath,7.090076835776092
50,Entire home/apt,2,1.0,1.0,100,13.83148,100.52102,21,5.0,1.5,bath,6.907755278982137
51,Entire home/apt,4,1.0,4.0,100,13.72073,100.5469,268,4.73,1.0,bath,7.27931883541462
52,Entire home/apt,2,1.0,1.0,100,13.72063,100.54694,310,4.67,1.0,bath,7.090076835776092
53,Entire home/apt,4,2.0,2.0,100,13.72096,100.52911,118,4.92,2.0,bath,8.231376045573969
54,Entire home/apt,3,1.0,1.0,100,13.73782,100.55179,11,5.0,1.0,bath,7.306531398939505
55,Entire home/apt,2,1.0,1.0,80,13.72141,100.72946,43,4.14,1.0,bath,7.351158226430694
56,Private room,2,1.0,1.0,0,13.67805,100.62451,0,0.0,1.0,private bath,5.991464547107982
57,Entire home/apt,3,2.0,1.0,100,13.67998,100.61074,0,0.0,1.0,bath,7.313220387090301
58,Entire home/apt,4,1.0,6.0,100,13.74814,100.52016,295,4.92,1.0,bath,7.9724660159745655
59,Entire home/apt,2,1.0,1.0,100,13.69947,100.52726,29,4.7,1.0,bath,6.7912214627261855
60,Entire home/apt,2,1.0,1.0,100,13.67991,100.61055,170,4.6,1.0,bath,6.826545223556594
61,Shared room,12,1.0,12.0,78,13.72214,100.50752,12,4.5,6.5,shared bath,5.857933154483459
62,Private room,2,1.0,1.0,100,13.71498,100.53312,40,4.58,1.0,private bath,7.341483852363161
63,Entire home/apt,2,1.0,1.0,33,13.72825,100.53774,36,4.42,1.0,bath,7.370860166536716
64,Entire home/apt,3,1.0,1.0,0,13.75224,100.58979,0,0.0,1.0,bath,7.063903961472068
65,Shared room,5,1.0,1.0,0,13.75135,100.49447,0,0.0,2.0,shared bath,8.555451903533328
66,Entire home/apt,4,2.0,2.0,100,13.7104,100.60171,19,4.76,2.0,bath,7.764296006450518
67,Entire home/apt,5,3.0,3.0,100,13.70004,100.6787,3,5.0,3.0,bath,8.129764445794171
68,Entire home/apt,3,1.0,2.0,100,13.81694,100.56451,293,4.87,1.5,bath,7.147559271189454
69,Entire home/apt,2,1.0,1.0,0,13.71012,100.60281,1,0.0,1.0,bath,8.843037724962366
70,Shared room,4,1.0,16.0,100,13.72157,100.54509,82,4.49,3.0,shared bath,5.799092654460526
71,Entire home/apt,4,1.0,1.0,100,13.79128,100.54935,29,4.66,1.0,bath,6.907755278982137
72,Private room,2,1.0,1.0,0,13.70497,100.55134,0,0.0,1.0,bath,7.824046010856292
73,Entire home/apt,2,1.0,1.0,0,13.6937,100.59897,0,0.0,1.0,bath,7.233455418621439
74,Entire home/apt,2,1.0,1.0,0,13.779,100.83671,0,0.0,2.0,bath,9.066239028001926
75,Entire home/apt,2,1.0,2.0,100,13.71278,100.5156,404,4.78,1.0,bath,6.698268054115413
76,Entire home/apt,2,1.0,2.0,100,13.69949,100.52725,18,4.72,1.5,bath,6.887552571664617
77,Private room,2,1.0,1.0,0,13.70169,100.5977,0,0.0,1.0,bath,7.719129840906732
78,Private room,2,1.0,1.0,0,13.72646256,100.4912934,0,0.0,0.0,shared bath,6.684611727667927
79,Entire home/apt,2,1.0,1.0,100,13.71119,100.63334,1,0.0,1.0,bath,6.877296071497429
80,Entire home/apt,2,1.0,1.0,100,13.72873,100.58039,6,5.0,1.0,bath,7.600902459542082
81,Private room,4,1.0,3.0,100,13.720317,100.54586,4,5.0,1.0,private bath,7.395721608602045
82,Private room,2,1.0,1.0,33,13.71659,100.51588,0,0.0,1.0,bath,6.727431724850855
83,Private room,1,1.0,1.0,33,13.71655,100.51384,1,5.0,1.0,bath,6.8308742346461795
84,Private room,2,1.0,1.0,33,13.71496,100.51406,0,0.0,0.0,bath,6.763884908562435
85,Private room,1,1.0,1.0,33,13.718,100.51573,0,0.0,1.0,bath,6.476972362889683
86,Shared room,13,1.0,2.0,33,13.71662,100.51572,2,5.0,1.0,shared bath,6.763884908562435
87,Entire home/apt,2,1.0,1.0,0,13.80926,100.56892,56,4.9,1.0,bath,6.802394763324311
88,Entire home/apt,12,3.0,7.0,100,13.77537,100.52383,271,4.79,3.0,bath,7.942362237674335
89,Private room,2,1.0,1.0,0,13.72225,100.51642,11,5.0,1.0,bath,7.630946580890459
90,Private room,2,1.0,1.0,0,13.72221,100.51568,3,5.0,1.0,bath,7.630946580890459
91,Entire home/apt,2,1.0,1.0,90,13.69821,100.60626,77,4.51,1.0,bath,6.396929655216146
92,Entire home/apt,2,2.0,1.0,0,13.72687,100.52326,8,4.88,2.0,bath,8.68050180902826
93,Private room,1,1.0,1.0,0,13.9277,100.58757,0,0.0,1.0,bath,7.1308988302963465
94,Entire home/apt,5,2.0,2.0,99,13.7736,100.54079,109,4.82,2.0,bath,7.852050207265889
95,Private room,2,1.0,1.0,0,13.71513,100.5683,0,0.0,1.0,bath,7.70796153183549
96,Entire home/apt,4,2.0,2.0,100,13.7281,100.57318,67,4.58,2.0,bath,7.4570320891223805
97,Entire home/apt,2,1.0,1.0,0,13.77808,100.5416,18,4.56,1.0,bath,6.907755278982137
98,Entire home/apt,3,1.0,1.0,100,13.77776,100.54353,34,4.88,1.0,bath,8.255048902752295
99,Entire home/apt,2,1.0,1.0,0,13.78686,100.54951,14,4.36,1.0,bath,6.745236349484363
100,Entire home/apt,2,1.0,1.0,50,13.76473,100.49718,34,4.8,2.0,bath,6.840546529288687
101,Entire home/apt,2,1.0,1.0,100,13.74902,100.55652,94,4.91,1.0,bath,6.763884908562435
102,Entire home/apt,2,1.0,1.0,0,13.79844,100.55726,0,0.0,1.0,bath,6.3818160174060985
103,Private room,3,1.0,1.0,0,13.72007,100.51711,3,4.33,1.0,bath,7.170119543449628
104,Private room,3,1.0,1.0,0,13.72063,100.51611,0,0.0,1.0,bath,7.170119543449628
105,Entire home/apt,4,2.0,2.0,100,13.73332,100.57099,58,4.21,2.0,bath,7.705262474866325
106,Entire home/apt,2,1.0,1.0,100,13.72383,100.61609,2,3.0,1.0,bath,7.174724309836376
107,Entire home/apt,2,1.0,1.0,100,13.73757,100.55996,206,4.7,1.0,bath,7.3031700512368
108,Private room,2,1.0,1.0,0,13.88974,100.56257,27,4.69,1.0,bath,6.684611727667927
109,Private room,2,1.0,1.0,100,13.78148,100.54868,1,5.0,1.0,bath,6.992096427415888
110,Entire home/apt,1,1.0,1.0,100,13.72062,100.54707,396,4.6,1.0,bath,6.684611727667927
111,Entire home/apt,2,1.0,1.0,0,13.78064,100.54393,7,4.33,1.0,bath,7.233455418621439
112,Entire home/apt,2,1.0,1.0,100,13.7234,100.61828,10,4.9,1.0,bath,7.10002716662926
113,Entire home/apt,5,3.0,3.0,11,13.7016,100.50262,18,4.33,2.0,bath,8.476371196895983
114,Entire home/apt,2,1.0,1.0,100,13.72158,100.61654,11,4.09,1.0,bath,6.906754778648554
115,Private room,1,1.0,1.0,0,13.68426,100.49841,0,0.0,0.0,bath,7.351158226430694
116,Entire home/apt,2,1.0,1.0,100,13.74088,100.54102,120,4.85,1.0,bath,8.038189179973203
117,Entire home/apt,4,2.0,2.0,100,13.71905,100.50414,80,4.79,2.0,bath,7.465655310134056
118,Entire home/apt,4,2.0,2.0,100,13.72543,100.53838,95,4.98,2.0,bath,8.555451903533328
119,Entire home/apt,2,1.0,1.0,100,13.72425,100.53087,101,4.85,1.0,bath,7.671826797878781
120,Entire home/apt,4,1.0,2.0,100,13.74052,100.55237,189,4.56,1.0,bath,6.680854678790215
121,Entire home/apt,2,1.0,1.0,0,13.78761,100.55319,0,0.0,1.0,bath,6.434546518787453
122,Private room,2,1.0,2.0,0,13.79221,100.54631,33,4.67,1.0,private bath,5.988961416889864
123,Entire home/apt,3,1.0,1.0,100,13.72062,100.54707,430,4.49,1.0,bath,6.720220155135295
124,Private room,3,1.0,3.0,0,13.77073,100.50478,0,0.0,1.0,private bath,8.922658299524402
125,Entire home/apt,2,1.0,1.0,100,13.71425,100.51332,206,4.49,1.0,bath,6.555356891810665
126,Entire home/apt,1,1.0,1.0,100,13.71663,100.52864,97,4.72,1.0,bath,6.7661917146603505
127,Private room,6,1.0,2.0,0,13.77933,100.61957,0,0.0,2.0,bath,8.491465042843506
128,Private room,2,1.0,1.0,100,13.71782,100.51622,39,4.56,1.0,private bath,6.856461984594587
129,Entire home/apt,4,2.0,2.0,0,13.82824,100.56594,20,4.95,1.0,bath,6.960347729101308
130,Entire home/apt,2,1.0,1.0,100,13.74742,100.56678,12,4.7,1.0,bath,6.927557906278317
131,Entire home/apt,2,1.0,1.0,100,13.72347,100.61812,6,4.17,1.0,bath,6.911747300251674
132,Entire home/apt,4,2.0,3.0,100,13.78588,100.56957,167,4.68,1.0,bath,7.315883504509785
133,Entire home/apt,4,2.0,2.0,100,13.72027,100.52851,135,4.84,2.0,bath,8.231376045573969
134,Entire home/apt,2,1.0,1.0,100,13.72242,100.57962,81,4.85,1.0,bath,7.305860032684009
135,Entire home/apt,3,1.0,1.0,100,13.71166,100.59326,31,4.57,1.0,bath,7.04141166379481
136,Entire home/apt,5,1.0,3.0,100,13.74978,100.53301,113,4.79,1.0,bath,6.9167150203536085
137,Entire home/apt,2,1.0,1.0,100,13.73816,100.56495,32,4.84,1.0,bath,7.24422751560335
138,Entire home/apt,1,1.0,1.0,100,13.72074,100.54712,192,4.65,1.0,bath,6.684611727667927
139,Entire home/apt,6,2.0,3.0,100,13.73675,100.57191,18,4.77,3.0,bath,8.226840890408578
140,Entire home/apt,3,1.0,1.0,100,13.71506,100.51319,117,4.41,1.0,bath,7.003065458786462
141,Entire home/apt,2,1.0,1.0,100,13.7133,100.51337,146,4.53,1.0,bath,7.003065458786462
142,Entire home/apt,1,1.0,1.0,100,13.72062,100.54707,325,4.52,1.0,bath,6.684611727667927
143,Entire home/apt,2,1.0,1.0,100,13.72062,100.54707,156,4.67,1.0,bath,6.411818267709897
144,Entire home/apt,3,1.0,1.0,100,13.69673,100.53202,35,4.56,1.0,bath,7.04141166379481
145,Entire home/apt,2,1.0,1.0,100,13.79216,100.57502,25,4.84,1.0,bath,6.29156913955832
146,Entire home/apt,6,1.0,1.0,100,13.67826,100.60592,0,0.0,1.0,bath,7.4673710669175595
147,Entire home/apt,2,1.0,1.0,93,13.69784,100.60635,103,4.59,1.0,bath,6.906754778648554
148,Entire home/apt,2,1.0,1.0,100,13.69935,100.52723,40,4.79,1.0,bath,6.551080335043404
149,Entire home/apt,2,1.0,1.0,100,13.69977,100.52652,14,4.42,1.0,bath,6.7226297948554485
150,Entire home/apt,2,1.0,1.0,100,13.698,100.52886,127,4.62,1.0,bath,6.672032945461067
151,Entire home/apt,2,1.0,1.0,100,13.73606,100.55934,129,4.88,1.5,bath,7.520234556474628
152,Entire home/apt,2,1.0,1.0,90,13.70396,100.60281,27,4.74,1.0,bath,7.142036574706803
153,Entire home/apt,2,1.0,1.0,100,13.74538,100.59943,53,4.68,1.0,bath,6.78897174299217
154,Private room,2,1.0,1.0,0,13.77126,100.57088,0,0.0,1.0,bath,7.090076835776092
155,Entire home/apt,2,1.0,1.0,100,13.70068,100.5228,26,4.64,1.0,bath,6.579251212010101
156,Entire home/apt,2,1.0,1.0,100,13.71628,100.51238,109,4.51,1.0,bath,6.856461984594587
157,Entire home/apt,2,1.0,1.0,0,13.76276,100.69127,0,0.0,2.0,bath,6.907755278982137
158,Entire home/apt,2,1.0,1.0,100,13.69925,100.52624,48,4.67,1.0,bath,6.7912214627261855
159,Entire home/apt,4,2.0,3.0,100,13.72393,100.57647,26,4.77,2.0,bath,8.101677747454572
160,Private room,2,1.0,1.0,0,13.71922,100.5255,14,4.29,1.0,bath,7.459338895220296
161,Hotel room,3,1.0,1.0,0,13.67317,100.54406,120,4.83,1.0,bath,7.351158226430694
162,Private room,2,1.0,1.0,93,13.73789,100.64271,8,4.13,1.0,bath,6.745236349484363
163,Private room,2,1.0,1.0,93,13.73613,100.64319,0,0.0,1.0,bath,6.956545443151569
164,Private room,2,1.0,1.0,93,13.78327,100.67124,3,5.0,1.0,bath,6.551080335043404
165,Private room,2,1.0,1.0,93,13.80698,100.5121,0,0.0,1.0,bath,6.956545443151569
166,Private room,2,1.0,1.0,93,13.80657,100.51192,0,0.0,1.0,bath,6.956545443151569
167,Private room,2,1.0,1.0,93,13.80685,100.5125,0,0.0,1.0,bath,6.956545443151569
168,Entire home/apt,4,2.0,2.0,100,13.72004,100.5186,25,4.96,2.0,bath,8.612503371220562
169,Entire home/apt,4,1.0,1.0,0,13.75156,100.52988,77,4.23,1.0,bath,7.197435354096591
170,Entire home/apt,2,1.0,1.0,100,13.69832,100.52434,60,4.6,1.0,bath,6.834108738813838
171,Entire home/apt,4,1.0,2.0,90,13.72174,100.50769,88,4.69,1.0,bath,7.399398083331354
172,Entire home/apt,2,1.0,1.0,100,13.70218,100.52254,38,4.7,1.0,bath,6.507277712385012
173,Entire home/apt,2,2.0,2.0,100,13.74381,100.54792,92,4.92,2.0,bath,7.718685495198466
174,Entire home/apt,2,1.0,1.0,100,13.70039,100.52806,40,4.6,1.0,bath,6.579251212010101
175,Private room,2,1.0,2.0,98,13.7319,100.52255,6,4.83,1.0,shared bath,7.495541943884256
176,Private room,2,1.0,2.0,98,13.732,100.52294,3,3.67,1.0,bath,7.649692623711514
177,Entire home/apt,2,1.0,1.0,0,13.82841,100.57103,24,5.0,1.0,bath,6.911747300251674
178,Private room,4,2.0,3.0,98,13.7332,100.52094,1,4.0,2.0,bath,8.268731832117737
179,Private room,2,1.0,1.0,0,13.77302,100.57755,0,0.0,1.0,bath,7.10002716662926
180,Entire home/apt,3,1.0,1.0,0,13.71847,100.50914,2,0.0,1.0,bath,8.028455164114252
181,Entire home/apt,6,3.0,4.0,100,13.80994,100.5651,0,0.0,3.0,bath,8.332308352219117
182,Entire home/apt,2,1.0,1.0,100,13.72062,100.54707,93,4.66,1.0,bath,6.561030665896573
183,Entire home/apt,3,1.0,2.0,0,13.71672,100.5092,75,4.56,1.0,bath,7.1592919047975645
184,Private room,2,1.0,1.0,0,13.79616,100.56478,0,0.0,1.0,private bath,7.400009517162692
185,Entire home/apt,2,1.0,1.0,100,13.72062,100.54707,146,4.52,1.0,bath,6.396929655216146
186,Private room,2,1.0,1.0,0,13.75056,100.60844,1,4.0,1.0,bath,7.182352111885263
187,Private room,1,1.0,1.0,0,13.73862,100.585,1,5.0,2.0,bath,6.955592608396297
188,Private room,2,1.0,1.0,0,13.7214,100.58484,0,0.0,1.0,bath,7.471932078245122
189,Entire home/apt,3,1.0,1.0,100,13.72061,100.54706,426,4.45,1.0,bath,6.620073206530356
190,Entire home/apt,2,1.0,1.0,100,13.69945,100.52725,7,4.71,1.0,bath,6.856461984594587
191,Entire home/apt,2,1.0,1.0,100,13.72062,100.54709,224,4.57,1.0,bath,6.541029999189903
192,Entire home/apt,2,1.0,1.0,100,13.78519,100.5496,8,3.88,1.0,bath,7.600902459542082
193,Entire home/apt,2,1.0,1.0,100,13.72219,100.6145,2,3.0,1.0,bath,6.911747300251674
194,Entire home/apt,2,1.0,1.0,100,13.71916,100.63024,9,4.11,1.0,bath,6.911747300251674
195,Entire home/apt,3,3.0,1.0,100,13.79654,100.57543,0,0.0,1.0,bath,7.824046010856292
196,Entire home/apt,3,1.0,1.0,100,13.69011,100.60844,12,4.83,1.0,bath,7.729735331385051
197,Entire home/apt,2,1.0,1.0,100,13.72065,100.54713,120,4.52,1.0,bath,6.601230118728877
198,Entire home/apt,2,1.0,1.0,0,13.70714,100.60281,0,0.0,1.0,bath,7.71244383427499
199,Entire home/apt,2,1.0,1.0,100,13.71699,100.4783,0,0.0,1.5,bath,7.600902459542082
200,Shared room,1,1.0,1.0,0,13.70992,100.59918,1,1.0,1.5,shared bath,6.568077911411976
201,Private room,8,1.0,8.0,100,13.78653,100.56912,23,4.65,0.0,shared bath,7.600902459542082
202,Entire home/apt,2,1.0,1.0,0,13.73892,100.55673,6,4.17,1.0,bath,7.52294091807237
203,Entire home/apt,2,1.0,1.0,90,13.67926,100.61655,147,4.69,1.0,bath,6.694562058521095
204,Private room,3,1.0,1.0,0,13.65487,100.64337,1,5.0,1.0,bath,7.4570320891223805
205,Private room,2,1.0,1.0,100,13.7863,100.57026,5,4.6,1.0,private bath,6.849066282633458
206,Entire home/apt,6,2.0,3.0,100,13.84279,100.56287,215,4.79,1.0,bath,7.71244383427499
207,Entire home/apt,2,1.0,1.0,100,13.78887,100.56009,4,5.0,1.0,bath,6.214608098422191
208,Entire home/apt,6,2.0,3.0,75,13.73232,100.52657,239,4.75,2.0,bath,7.901377353792616
209,Entire home/apt,6,3.0,3.0,0,13.73667,100.69141,0,0.0,3.0,bath,9.245224773829685
210,Entire home/apt,3,1.0,1.0,0,13.72075,100.50354,39,4.9,1.0,bath,7.70796153183549
211,Entire home/apt,5,2.0,2.0,100,13.72376,100.61804,6,4.17,1.0,bath,7.587817219993427
212,Shared room,1,1.0,4.0,0,13.70811,100.60112,4,4.25,1.0,shared bath,5.991464547107982
213,Entire home/apt,8,3.0,6.0,90,13.75806,100.56938,195,4.89,2.5,bath,8.333510708982942
214,Entire home/apt,3,1.0,1.0,100,13.72219,100.50517,35,4.82,1.0,bath,7.605392364814935
215,Entire home/apt,2,1.0,1.0,0,13.78777,100.56551,6,4.33,1.0,bath,6.763884908562435
216,Entire home/apt,2,1.0,1.0,100,13.73982,100.5406,2,5.0,1.0,bath,6.911747300251674
217,Private room,2,1.0,1.0,98,13.73167,100.52116,4,4.67,1.0,bath,7.882314918980268
218,Entire home/apt,4,1.0,2.0,0,13.72053,100.53854,87,4.77,1.0,bath,7.0707241072602764
219,Entire home/apt,2,1.0,1.0,100,13.72109,100.53915,35,4.82,1.0,bath,7.10002716662926
220,Entire home/apt,3,1.0,1.0,100,13.72052,100.54682,300,4.82,1.0,bath,7.24422751560335
221,Entire home/apt,8,3.0,4.0,93,13.73616,100.57224,46,4.7,3.0,bath,9.21024036697585
222,Entire home/apt,6,3.0,3.0,0,13.72352,100.6536,0,0.0,3.5,bath,9.210340371976184
223,Private room,2,1.0,1.0,98,13.7344,100.52201,18,4.24,1.0,bath,7.549609165154532
224,Private room,2,1.0,2.0,98,13.73337,100.52274,10,4.5,1.0,bath,7.313220387090301
225,Shared room,1,1.0,1.0,100,13.78542,100.56921,4,4.75,0.0,shared bath,6.1224928095143865
226,Entire home/apt,2,1.0,1.0,33,13.70644,100.52544,0,0.0,1.0,bath,7.10002716662926
227,Entire home/apt,2,1.0,3.0,100,13.72153,100.5286,25,4.29,1.0,bath,7.10002716662926
228,Entire home/apt,2,1.0,1.0,100,13.72185,100.50663,25,4.92,1.0,bath,6.946013991099227
229,Entire home/apt,2,1.0,1.0,100,13.72752,100.55957,65,4.75,1.0,bath,7.600902459542082
230,Private room,2,1.0,2.0,98,13.73244,100.52204,21,4.75,1.0,bath,7.495541943884256
231,Entire home/apt,2,1.0,1.0,33,13.72075,100.53993,2,4.5,1.0,bath,7.351158226430694
232,Shared room,16,1.0,8.0,33,13.71711,100.51524,27,4.44,2.0,shared bath,6.194405391104672
233,Private room,2,1.0,2.0,98,13.73208,100.52062,7,4.57,1.0,bath,7.313220387090301
234,Entire home/apt,4,1.0,1.0,100,13.72077,100.51202,37,4.94,1.0,bath,8.0959035329611
235,Private room,2,1.0,2.0,98,13.73397,100.52272,7,4.43,1.0,bath,7.649692623711514
236,Private room,2,1.0,2.0,98,13.73229,100.52286,5,4.2,1.0,bath,7.438383530044307
237,Private room,2,1.0,1.0,100,13.7447,100.60093,3,4.5,1.0,bath,7.496097345175956
238,Private room,2,1.0,1.0,98,13.73232,100.52336,8,4.75,1.0,bath,7.90100705199242
239,Entire home/apt,4,2.0,1.0,0,13.74283,100.58651,0,0.0,3.0,bath,7.587817219993427
240,Private room,2,1.0,1.0,0,13.73989,100.50179,1,0.0,1.0,bath,7.4570320891223805
241,Private room,2,1.0,2.0,98,13.73241,100.52168,23,4.55,1.0,bath,7.649692623711514
242,Entire home/apt,2,1.0,1.0,100,13.72062,100.58019,0,0.0,1.0,bath,7.4570320891223805
243,Entire home/apt,4,2.0,3.0,0,13.73668,100.56693,4,4.67,3.0,bath,8.332308352219117
244,Entire home/apt,3,1.0,2.0,0,13.72699,100.56988,23,4.68,2.0,bath,7.622174594817622
245,Entire home/apt,2,1.0,1.0,0,13.75878,100.64988,1,2.0,1.0,bath,6.251903883165888
246,Private room,4,2.0,3.0,98,13.73195,100.52318,33,4.47,2.0,bath,8.204398418149381
247,Private room,2,1.0,1.0,0,13.73684,100.55488,0,0.0,1.0,bath,7.313220387090301
248,Entire home/apt,2,1.0,1.0,100,13.71637,100.51592,228,4.47,1.0,bath,6.78897174299217
249,Entire home/apt,2,1.0,1.0,33,13.73954,100.53954,53,4.57,1.0,bath,7.208600337960199
250,Entire home/apt,5,2.0,2.0,100,13.72343,100.61643,5,3.6,1.0,bath,7.413970290190444
251,Entire home/apt,2,1.0,2.0,0,13.71165,100.54957,1,5.0,1.0,bath,7.313220387090301
252,Entire home/apt,4,2.0,2.0,100,13.78499,100.56958,26,4.6,2.0,bath,7.600902459542082
253,Private room,4,2.0,3.0,98,13.73155,100.52129,6,4.5,2.0,bath,8.216088098632316
254,Private room,2,1.0,1.0,100,13.70249,100.53757,1,5.0,1.0,shared bath,8.90150275745161
255,Private room,2,1.0,1.0,98,13.73288,100.52328,15,4.14,1.0,bath,7.803843303538772
256,Entire home/apt,2,1.0,1.0,80,13.71944,100.73128,63,4.18,1.0,bath,7.182352111885263
257,Entire home/apt,1,1.0,1.0,100,13.72066,100.5471,193,4.7,1.0,bath,6.684611727667927
258,Private room,2,1.0,2.0,98,13.7334,100.52328,4,3.75,1.0,bath,6.802394763324311
259,Private room,2,1.0,2.0,98,13.73391,100.52297,6,4.5,1.0,bath,7.313220387090301
260,Private room,2,1.0,2.0,98,13.73205,100.5234,4,4.5,1.0,bath,7.313220387090301
261,Entire home/apt,3,1.0,1.0,0,13.78756,100.55304,0,0.0,1.5,bath,8.006367567650246
262,Entire home/apt,2,1.0,1.0,67,13.70488,100.60475,10,4.5,1.5,bath,6.802394763324311
263,Entire home/apt,3,1.0,2.0,100,13.83148,100.52151,7,5.0,1.5,bath,6.907755278982137
264,Entire home/apt,4,2.0,3.0,100,13.83148,100.52307,21,5.0,1.0,bath,7.090076835776092
265,Entire home/apt,3,1.0,2.0,100,13.72635,100.57211,210,4.89,1.0,bath,7.660585461703256
266,Entire home/apt,2,1.0,1.0,80,13.74266,100.47679,8,4.75,1.0,bath,7.003065458786462
267,Entire home/apt,2,1.0,1.0,90,13.70486,100.60152,33,4.75,1.5,bath,6.745236349484363
268,Entire home/apt,2,1.0,2.0,80,13.74286,100.47575,4,5.0,1.0,bath,7.3777589082278725
